id,name,protiens,calories,fat,total_carbs,fiber,sugar,net_carbs,portion,unit,created_by,edit_by,created_at,updated_at,glycemic_index
174,mango,1,60,0,15,2,14,13,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:55:49,2022-04-22 11:55:49,0.0
175,Cajun seasoning,0,0,0,0,0,0,0,5,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:50,2023-08-15 07:00:23,0.0
176,orange zest,0,10,0,3,1,0,2,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:52,2023-09-03 18:58:33,40.0
177,chinese five-spice seasoning,1,25,0,5,0,2,3,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:53,2023-09-06 11:56:00,0.0
178,ice,0,0,0,0,0,0,0,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:55:55,2022-04-22 11:55:55,0.0
179,carob powder,0,375,0,88,38,25,50,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:55:57,2022-04-22 11:55:57,0.0
180,raspberries,1,52,1,12,7,4,6,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:55:58,2023-09-08 09:17:13,32.0
181,squash (butternut),1,45,0,12,2,2,10,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:00,2023-08-15 08:05:24,51.0
182,pumpkin puree,0,10,0,3,1,1,2,30,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:01,2023-08-29 14:07:55,75.0
184,raisins,3,299,0,79,5,65,75,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:04,2023-09-08 09:17:18,66.0
185,prunes,2,240,0,64,7,38,57,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:06,2022-04-22 11:56:06,0.0
186,figs,1,74,0,19,8,44,11,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:07,2022-04-22 11:56:07,0.0
